Название,"Цена за 100 г, ₽","Вес, г",Кол-во отзывов,Рейтинг,Источник
"вв. Сорбет ""Малина-Личи""",224.0,75.0,5887.0,4.8,вв.
"вв. Сорбет ""Манго- Маракуйя"" без доб. сахара",232.0,75.0,8246.0,4.9,вв.
"вв. Сорбет ""Клубника-Базилик""",192.0,75.0,5308.0,4.9,вв.
"вв. Сорбет ""Лимон с цедрой""",170.67,75.0,4667.0,4.9,вв.
вв. Сорбет из пюре смородины и яблока,182.67,75.0,4236.0,4.9,вв.
вв. Сорбет из пюре клюквы и яблока,198.67,75.0,2071.0,4.9,вв.
"вв. Сорбет ""Манго-Маракуйя""",158.67,75.0,5177.0,4.9,вв.
"вв. Сорбет ""Черная смородина и мята""",202.5,80.0,454.0,5.0,вв.
"вв. Сорбет ""Зеленый чай-Ананас-Имбирь"", 75&nbsp;г",160.0,75.0,2023.0,4.8,вв.
"вв. Сорбет ""Малиновый"" без доб.сахара",202.5,80.0,1186.0,4.9,вв.
"вв. Сорбет ""Черная и красная смородина""",162.67,75.0,1081.0,4.9,вв.
"вв. Сорбет ""Юдзу""",175.0,80.0,634.0,4.7,вв.
"вв. Сорбет ""Облепиха""",187.5,80.0,165.0,4.8,вв.
вв. Сорбет из клюквы и брусники,120.0,100.0,1178.0,5.0,вв.
"вв. Сорбет ""Киви""",196.25,80.0,74.0,4.8,вв.
