,Название,"Цена, ₽","Вес, г","Цена за 100 г, ₽",Рейтинг,Кол-во отзывов,Ссылка,Большие порции,Стаканчики и рожки,Сэндвичи и брикет,Фруктовое,Шоколадное,Эскимо и батончики,ПП,Ценовая премия,Относительная популярность,Score
0,"Мороженое Minimelts сорбет вишнёвый, 72г",379.99,72.0,527.76,4.73,78,https://www.perekrestok.ru/cat/421/p/morozenoe-minimelts-sorbet-visnevyj-72g-4439687,False,False,False,True,False,False,False,2.375,1.063,2.388
1,"Мороженое Minimelts сорбет манго, 72г",379.99,72.0,527.76,4.83,60,https://www.perekrestok.ru/cat/421/p/morozenoe-minimelts-sorbet-mango-72g-4439688,False,False,False,True,False,False,False,2.375,1.0,2.294
2,"Мороженое Snickers молочное с карамелью и арахисом, 48г",199.99,48.0,416.65,4.93,1447,https://www.perekrestok.ru/cat/321/p/morozenoe-snickers-molocnoe-s-karamelu-i-arahisom-48g-6150,False,False,False,False,False,True,False,1.873,1.059,1.956
3,"Пломбир Чистая Линия ванильный 12%, 70г",206.99,70.0,295.7,4.87,1417,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-12-70g-3975059,False,True,False,False,False,False,False,2.11,0.915,1.88
4,"Мороженое Twix Карамель с рисовыми шариками в молочном шоколаде 5%, 68г",174.99,68.0,257.34,4.84,3462,https://www.perekrestok.ru/cat/1601/p/morozenoe-twix-karamel-s-risovymi-sarikami-v-molocnom-sokolade-5-68g-4347188,False,True,False,False,False,False,False,1.836,1.028,1.827
5,"Мороженое Bounty с кокосовым молоком и мякотью 6%, 272г",719.99,272.0,264.7,4.83,1073,https://www.perekrestok.ru/cat/1601/p/morozenoe-bounty-s-kokosovym-molokom-i-makotu-6-272g-4282845,True,False,False,False,False,False,False,1.654,1.134,1.812
6,"Мороженое Snickers сливочное с пастой из арахиса, арахисом в шоколаде, карамелью 8.5%, 288г",959.99,288.0,333.33,4.86,226,https://www.perekrestok.ru/cat/421/p/morozenoe-snickers-slivocnoe-s-pastoj-iz-arahisa-arahisom-v-sokolade-karamelu-8-5-288g-4442643,True,False,False,False,False,False,False,2.083,0.881,1.784
7,"Мороженое Snickers арахис с карамелью рожок, 6%, 69г",183.99,69.0,266.65,4.9,1905,https://www.perekrestok.ru/cat/1601/p/morozenoe-snickers-arahis-s-karamelu-rozok-6-69g-4346919,False,True,False,False,False,False,False,1.902,0.953,1.776
8,"Сорбет Малина-Личи Зелёная Линия, 300г",791.99,300.0,264.0,4.76,471,https://www.perekrestok.ru/cat/1601/p/sorbet-malina-lici-zelenaa-linia-300g-4210653,True,False,False,False,False,False,False,1.65,1.0,1.571
9,"Мороженое M&MS двухслойное молочное арахисовое и сливочно-шоколадное с драже 8%, 295г",719.99,295.0,244.06,4.74,754,https://www.perekrestok.ru/cat/1601/p/morozenoe-m-ms-dvuhslojnoe-molocnoe-arahisovoe-i-slivocno-sokoladnoe-s-draze-8-295g-4282844,True,False,False,False,False,False,False,1.525,1.076,1.556
10,"Мороженое Twix сливочное с карамелью и печеньем в глазури, 265г",665.99,265.0,251.32,4.77,578,https://www.perekrestok.ru/cat/321/p/morozenoe-twix-slivocnoe-s-karamelu-i-pecenem-v-glazuri-265g-4398764,True,False,False,False,False,False,False,1.571,1.033,1.548
11,"Мороженое Коровка Из Кореновки пломбир малиновый в печенье Макаронс 15%, 70г",199.99,70.0,285.7,4.64,603,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-malinovyj-v-pecene-makarons-15-70g-4431813,False,True,False,False,False,False,False,2.038,0.808,1.528
12,"Мороженое Bounty молочное с мякотью кокоса в глазури, 39.1г",199.99,39.0,512.79,4.89,103,https://www.perekrestok.ru/cat/321/p/morozenoe-bounty-molocnoe-s-makotu-kokosa-v-glazuri-39-1g-4418872,False,False,False,False,False,True,False,2.305,0.676,1.524
13,"Мороженое Bombbar со вкусом пломбира на сливках молочное эскимо в шоколаде протеиновое 6%, 70г",143.99,70.0,205.7,4.87,1082,https://www.perekrestok.ru/cat/321/p/morozenoe-bombbar-so-vkusom-plombira-na-slivkah-molocnoe-eskimo-v-sokolade-proteinovoe-6-70g-4182508,False,False,False,False,False,True,True,1.169,1.334,1.519
14,"Мороженое Lotte Сэндвич-вафля Ракушка, 124г",209.99,90.0,233.32,4.68,2894,https://www.perekrestok.ru/cat/321/p/morozenoe-lotte-sendvic-vafla-rakuska-124g-4151686,False,False,True,False,False,False,False,1.578,1.024,1.512
15,"Мороженое Monterra Peach Bellini Персиковый беллини с кусочками персика с взрывной карамелью в шоколаде 10%, 293г",1049.0,293.0,358.02,4.66,83,https://www.perekrestok.ru/cat/421/p/morozenoe-monterra-peach-bellini-persikovyj-bellini-s-kusockami-persika-s-vzryvnoj-karamelu-v-sokolade-10-293g-4433083,True,False,False,False,False,False,False,2.238,0.72,1.502
16,"Эскимо Milka сливочное ванильное с шоколадным соусом в молочном шоколаде 8%, 62г",161.99,62.0,261.27,4.92,7043,https://www.perekrestok.ru/cat/1601/p/eskimo-milka-slivocnoe-vanilnoe-s-sokoladnym-sousom-v-molocnom-sokolade-8-62g-4047712,False,False,False,False,False,True,False,1.174,1.29,1.49
17,"Пломбир Чистая Линия ванильный в шоколадной глазури 12%, 80г",189.99,80.0,237.49,4.87,1654,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-12-80g-3953742,False,False,True,False,False,False,False,1.606,0.952,1.489
18,"Мороженое Коровка Из Кореновки пломбир фисташковый в печенье Макаронс 15%, 70г",199.99,70.0,285.7,4.7,520,https://www.perekrestok.ru/cat/421/p/morozenoe-korovka-iz-korenovki-plombir-fistaskovyj-v-pecene-makarons-15-70g-4431814,False,False,True,False,False,False,False,1.932,0.804,1.46
19,"Мороженое пломбир солёная карамель 15% Зелёная Линия, 75г",147.99,75.0,197.32,4.88,4509,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-solenaa-karamel-15-zelenaa-linia-75g-4096147,False,True,False,False,False,False,False,1.408,1.061,1.458
20,"Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г",139.99,70.0,199.99,4.88,3595,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194,False,True,False,False,False,False,False,1.427,1.033,1.439
