,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽",Необычный вкус,ПП,Вафельный стаканчик,Рожок,Сорбет/лёд,Эскимо,Пломбир,Большая порция,Стаканчик (не вафельный),Топ-ниши,score,Премия по цене,Относит. популярность,Главная ниша,Вторая ниша
0,"Мороженое пломбир в рис. тесте ""Моти"": ""Черника""",160.0,40.0,4.8,2245.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-ris-teste-moti-chernika-110216.html,400.0,False,False,False,False,False,False,True,False,False,['Пломбир'],2.54400497818849,2.831858407079646,0.8983517579228105,Пломбир,
1,"Мороженое пломбир в рис. тесте ""Кокос""",160.0,40.0,4.6,563.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-ris-teste-kokos-118942.html,400.0,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",2.0588592565671227,2.7684527861519013,0.7452957635285047,Пломбир,Стаканчик (не вафельный)
2,"Мороженое сливочное ""Дубайский шоколад"", 80&nbsp;г",297.0,80.0,4.6,1447.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dubayskiy-shokolad-80-g-116613.html,371.25,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",1.887976119802054,2.097364827754554,0.9002776615787798,Необычный вкус,Стаканчик (не вафельный)
3,"Мороженое ""Малиновый чизкейк""",790.0,310.0,4.8,912.0,https://vkusvill.ru/goods/morozhenoe-malinovyy-chizkeyk-109728.html,254.84,False,False,False,False,False,False,False,True,False,['Большая порция'],1.790518476557035,1.9332423001062056,0.9261738564579671,Большая порция,
4,"Мороженое ""Шоколадный Нью-Йорк""",790.0,310.0,4.7,815.0,https://vkusvill.ru/goods/morozhenoe-shokoladnyy-nyu-york-109729.html,254.84,False,False,False,False,False,False,False,True,False,['Большая порция'],1.7610155340226707,1.9332423001062056,0.9109129951925461,Большая порция,
5,"Эскимо ""Суфле"" в молочном шоколаде",159.0,70.0,4.9,8761.0,https://vkusvill.ru/goods/eskimo-sufle-v-molochnom-shokolade-64585.html,227.14,False,False,False,False,False,True,False,False,False,['Эскимо'],1.389544367271564,1.2403549488054606,1.1202796172255225,Эскимо,
6,"Сорбет ""Малина-Личи""",168.0,75.0,4.8,5887.0,https://vkusvill.ru/goods/sorbet-malina-lichi-66501.html,224.0,True,False,False,False,True,False,False,False,True,"['Необычный вкус', 'Сорбет/лёд']",1.3708088482502723,1.2736512445861978,1.076065290108968,Необычный вкус,Сорбет/лёд
7,Пломбир с малиной и малиновым соком,142.0,70.0,4.8,4083.0,https://vkusvill.ru/goods/plombir-s-malinoy-i-malinovym-sokom-89868.html,202.86,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.3704596045537873,1.4040208304969368,0.9782093335989741,Пломбир,Стаканчик (не вафельный)
8,Эскимо фисташковое в белом шоколаде с фисташкой,189.0,80.0,4.8,5045.0,https://vkusvill.ru/goods/eskimo-fistashkovoe-v-belom-shokolade-s-fistashkoy-88674.html,236.25,False,False,False,False,False,True,False,False,False,['Эскимо'],1.3574225616781797,1.2901023890784984,1.0521820385494884,Эскимо,
9,Пломбир,385.0,270.0,4.8,12339.0,https://vkusvill.ru/goods/plombir-249.html,142.59,False,False,False,False,False,False,True,True,False,"['Большая порция', 'Пломбир']",1.3567860638559894,1.0744807617789343,1.2616279096424445,Большая порция,Пломбир
10,"Пломбир ""Бельгийский шоколад""",148.0,85.0,4.9,13434.0,https://vkusvill.ru/goods/plombir-belgiyskiy-shokolad-15953.html,174.12,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.3447618169370055,1.2051074978119227,1.118300954057508,Пломбир,Стаканчик (не вафельный)
11,Эскимо Пломбир шоколадный в молочном шоколаде,167.0,80.0,4.9,11395.0,https://vkusvill.ru/goods/eskimo-plombir-shokoladnyy-v-molochnom-shokolade-21109.html,208.75,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.3433217922056013,1.1737261771723702,1.1461853306246585,Эскимо,Пломбир
12,Пломбир шоколадный во взбитой глазури,142.0,80.0,4.8,8850.0,https://vkusvill.ru/goods/plombir-shokoladnyy-vo-vzbitoy-glazuri-22858.html,177.5,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.3106799602443548,1.2285009238549063,1.0692032902006254,Пломбир,Стаканчик (не вафельный)
13,"Сорбет ""Манго- Маракуйя"" без доб. сахара",174.0,75.0,4.9,8246.0,https://vkusvill.ru/goods/sorbet-mango-marakuyya-bez-dob-sakhara-41836.html,232.0,False,True,False,False,True,False,False,False,True,"['ПП', 'Сорбет/лёд']",1.2850597340537906,1.1661810580782646,1.1003899309799217,ПП,Сорбет/лёд
14,"Десерт кокосовый замороженный ""Гранат-Малина""",151.0,75.0,4.8,8279.0,https://vkusvill.ru/goods/desert-kokosovyy-zamorozhennyy-granat-malina-50622.html,201.33,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],1.2848152642704187,1.1062087912087912,1.1614581934993107,Стаканчик (не вафельный),
15,Пломбир с бананом и банановым соком,142.0,70.0,4.9,2355.0,https://vkusvill.ru/goods/plombir-s-bananom-i-bananovym-sokom-106042.html,202.86,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.279789611842028,1.4040208304969368,0.9134907290860945,Пломбир,Стаканчик (не вафельный)
16,"Мороженое гранулированное ""Бабл-Гам""",156.0,80.0,4.8,11604.0,https://vkusvill.ru/goods/morozhenoe-granulirovannoe-babl-gam-43254.html,195.0,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",1.275247806557879,1.1016461721539073,1.1577276711288682,Необычный вкус,Стаканчик (не вафельный)
17,"Сорбет ""Клубника-Базилик""",144.0,75.0,4.9,5308.0,https://vkusvill.ru/goods/sorbet-klubnika-bazilik-17724.html,192.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",1.2572237554355994,1.1179747304901113,1.1244282523803086,Сорбет/лёд,Стаканчик (не вафельный)
18,"Пломбир ""Соленая карамель""",137.0,85.0,4.9,13827.0,https://vkusvill.ru/goods/plombir-solenaya-karamel-15124.html,161.18,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.2485995183991367,1.1155480501799087,1.1216929654401677,Пломбир,Стаканчик (не вафельный)
19,"Мороженое ""Пломбир безлактозный""",146.0,60.0,5.0,3704.0,https://vkusvill.ru/goods/morozhenoe-plombir-bezlaktoznyy-107683.html,243.33,False,True,False,False,False,False,True,False,True,"['ПП', 'Пломбир']",1.239119829418848,1.2528285568195565,0.9904682562568886,ПП,Пломбир
20,Пломбир ванильный во взбитой глазури,135.0,80.0,4.8,8034.0,https://vkusvill.ru/goods/plombir-vanilnyy-vo-vzbitoy-glazuri-22859.html,168.75,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.2328074997886889,1.1679410191578334,1.0578241333670237,Пломбир,Стаканчик (не вафельный)
21,"Пломбир ванильный ""Игрушка""",110.0,65.0,4.9,7509.0,https://vkusvill.ru/goods/plombir-vanilnyy-igrushka-52805.html,169.23,False,False,False,False,False,False,True,False,True,"['Пломбир', 'Стаканчик (не вафельный)']",1.2270232592305579,1.1712631625012155,1.0498745917232015,Пломбир,Стаканчик (не вафельный)
22,"Пломбир ""Морковный торт""",149.0,75.0,4.6,1710.0,https://vkusvill.ru/goods/plombir-morkovnyy-tort-109393.html,198.67,False,False,False,False,False,False,True,False,False,['Пломбир'],1.2189952568330888,1.4065132743362831,0.8666788142531525,Пломбир,
23,Эскимо в темном шоколаде с фундуком,159.0,75.0,5.0,4948.0,https://vkusvill.ru/goods/eskimo-v-temnom-shokolade-s-fundukom-64978.html,212.0,False,False,False,False,False,True,False,False,False,['Эскимо'],1.2153162495326013,1.157679180887372,1.0497867367719698,Эскимо,
24,"Мороженое сливочное ""Пралине"", 330г",482.0,330.0,4.9,3202.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-praline-330g-103292.html,146.06,False,False,False,False,False,False,False,True,False,['Большая порция'],1.2151747973882807,1.1080260961917767,1.096702326384521,Большая порция,
25,"Мороженое сливочное ""Банан-клубника""",149.0,75.0,4.9,5227.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-banan-klubnika-88653.html,198.67,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],1.203220641366987,1.0915934065934065,1.1022608180842184,Стаканчик (не вафельный),
26,"Эскимо пломбир ванильный в молочном шоколаде, 80&nbsp;г",139.0,80.0,4.8,23123.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-v-molochnom-shokolade-80-g-18273.html,173.75,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.2027929967656097,0.97693376423329,1.2330121250338424,Эскимо,Пломбир
27,Эскимо пломбир с карамелью и ирисо-сливочн. вкус. в бел. шок.,172.0,80.0,4.8,2968.0,https://vkusvill.ru/goods/eskimo-plombir-s-karamelyu-i-iriso-slivochn-vkus-v-bel-shok-89569.html,215.0,True,False,False,False,False,True,True,False,False,"['Необычный вкус', 'Эскимо']",1.19548702283948,1.2139097983568932,0.9848305411033527,Необычный вкус,Эскимо
28,Пломбир шоколадный в ваф. стаканчике,109.0,70.0,4.9,12879.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-stakanchike-18519.html,155.71,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",1.1903474236971325,1.1112300252844503,1.071225005774195,Вафельный стаканчик,Пломбир
29,Пломбир с вареной сгущенкой в ваф.рожке,137.0,90.0,5.0,14661.0,https://vkusvill.ru/goods/plombir-s-varenoy-sgushchenkoy-v-vaf-rozhke-89005.html,152.22,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",1.1899493393515768,1.10775177314127,1.074330190856689,Рожок,Пломбир
30,Пломбир с изюмом в ваф. стаканчике,116.0,70.0,4.8,6758.0,https://vkusvill.ru/goods/plombir-s-izyumom-v-vaf-stakanchike-27027.html,165.71,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",1.180479533042901,1.1825953855878635,0.998235969431126,Вафельный стаканчик,Пломбир
31,Эскимо Пломбир Двухслойный в молочном шоколаде,149.0,80.0,4.9,8641.0,https://vkusvill.ru/goods/eskimo-plombir-dvukhsloynyy-v-molochnom-shokolade-50735.html,186.25,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.1630388254246309,1.04721676885439,1.1122417710982322,Эскимо,Пломбир
32,"Мороженое ""Фисташковое""",170.0,85.0,4.9,3554.0,https://vkusvill.ru/goods/morozhenoe-fistashkovoe-22577.html,200.0,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],1.1567125580863957,1.098901098901099,1.05260842785862,Стаканчик (не вафельный),
33,Пломбир шоколадный с арахисом в ваф. стак.,115.0,80.0,4.9,19744.0,https://vkusvill.ru/goods/plombir-shokoladnyy-s-arakhisom-v-vaf-stak-48473.html,143.75,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",1.1485278842831617,1.0258770543615676,1.1195852301825944,Вафельный стаканчик,Пломбир
34,Пломбир в вафельном стаканчике,98.0,70.0,4.9,24102.0,https://vkusvill.ru/goods/plombir-v-vafelnom-stakanchike-17823.html,140.0,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",1.1411211529569363,0.9991150442477876,1.142160641888489,Вафельный стаканчик,Пломбир
35,"Пломбир ""Соленая карамель"" в ваф. рожке в мол. шоколаде",98.0,70.0,4.9,20757.0,https://vkusvill.ru/goods/plombir-solenaya-karamel-v-vaf-rozhke-v-mol-shokolade-106852.html,140.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",1.1340862722776666,1.018823073444868,1.1132663539155834,Рожок,Пломбир
36,Мороженое творожное во взбитой глазури,142.0,80.0,4.7,8004.0,https://vkusvill.ru/goods/morozhenoe-tvorozhnoe-vo-vzbitoy-glazuri-26796.html,177.5,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],1.1284998693222297,0.9752747252747253,1.1571097251642017,Стаканчик (не вафельный),
37,"Мороженое сливочное в рожке ""Ванильное""",107.0,70.0,4.8,8237.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-v-rozhke-vanilnoe-1743.html,152.86,False,False,False,True,False,False,False,False,False,['Рожок'],1.1217208061813377,1.1157664233576643,1.0053365854170042,Рожок,
