Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Фисташковый пломбир в вафельном рожке 12%,158.0,100.0,4.8,998.0,https://vkusvill.ru/goods/fistashkovyy-plombir-v-vafelnom-rozhke-12-119590.html,158.0
Пломбир сэндвич ванильный с кусочками печенья,89.0,80.0,4.9,14929.0,https://vkusvill.ru/goods/plombir-sendvich-vanilnyy-s-kusochkami-pechenya-107316.html,111.25
Пломбир в вафельном стаканчике,98.0,70.0,4.9,24102.0,https://vkusvill.ru/goods/plombir-v-vafelnom-stakanchike-17823.html,140.0
Мороженое пломбир с клубничным джемом в шоколаде с миндалем в вафельном стаканчике,142.0,90.0,4.7,1848.0,https://vkusvill.ru/goods/morozhenoe-plombir-s-klubnichnym-dzhemom-v-shokolade-s-mindalem-v-vafelnom-stakanchike-118437.html,157.78
"Эскимо пломбир ванильный в молочном шоколаде, 80&nbsp;г",139.0,80.0,4.8,23123.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-v-molochnom-shokolade-80-g-18273.html,173.75
"Мороженое молочное ""Клубника"" в вафельном стаканчике",98.0,80.0,4.8,611.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-klubnika-v-vafelnom-stakanchike-118731.html,122.5
Пломбир шоколадный с арахисом в ваф. стак.,115.0,80.0,4.9,19744.0,https://vkusvill.ru/goods/plombir-shokoladnyy-s-arakhisom-v-vaf-stak-48473.html,143.75
Пломбир,385.0,270.0,4.8,12339.0,https://vkusvill.ru/goods/plombir-249.html,142.59
Пломбир Малина в молочном шоколаде в вафельном стаканчике,158.0,110.0,4.7,636.0,https://vkusvill.ru/goods/plombir-malina-v-molochnom-shokolade-v-vafelnom-stakanchike-118396.html,143.64
Пломбир ванильный брикет на вафлях 20%,93.0,80.0,4.9,16777.0,https://vkusvill.ru/goods/plombir-vanilnyy-briket-na-vaflyakh-20-106473.html,116.25
"Пломбир ""Вишня с шоколадным соусом""",148.0,85.0,3.9,16236.0,https://vkusvill.ru/goods/plombir-vishnya-s-shokoladnym-sousom-21014.html,174.12
"Сорбет ""Манго- Маракуйя"" без доб. сахара",174.0,75.0,4.9,8246.0,https://vkusvill.ru/goods/sorbet-mango-marakuyya-bez-dob-sakhara-41836.html,232.0
"Мороженое эскимо пломбир ""Малина"" в белом шоколаде с кусочками малины",142.0,60.0,4.8,245.0,https://vkusvill.ru/goods/morozhenoe-eskimo-plombir-malina-v-belom-shokolade-s-kusochkami-maliny-118517.html,236.67
Пломбир с вареной сгущенкой в ваф.рожке,137.0,90.0,5.0,14661.0,https://vkusvill.ru/goods/plombir-s-varenoy-sgushchenkoy-v-vaf-rozhke-89005.html,152.22
"Эскимо ""Суфле"" в молочном шоколаде",159.0,70.0,4.9,8761.0,https://vkusvill.ru/goods/eskimo-sufle-v-molochnom-shokolade-64585.html,227.14
"Мороженое пломбир в рис. тесте ""Кокос""",160.0,40.0,4.6,563.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-ris-teste-kokos-118942.html,400.0
Мороженое молочное с вишней в ваф. стаканчике,88.0,90.0,4.8,4077.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-s-vishney-v-vaf-stakanchike-36871.html,97.78
Мороженое ванильное без доб. сахара в ваф. стаканчике,100.0,75.0,4.9,17928.0,https://vkusvill.ru/goods/morozhenoe-vanilnoe-bez-dob-sakhara-v-vaf-stakanchike-106248.html,133.33
"Пломбир ""Бельгийский шоколад""",148.0,85.0,4.9,13434.0,https://vkusvill.ru/goods/plombir-belgiyskiy-shokolad-15953.html,174.12
"Мороженое ""Соленая карамель-шок. трюфель""",430.0,330.0,4.9,8652.0,https://vkusvill.ru/goods/morozhenoe-solenaya-karamel-shok-tryufel-27955.html,130.3
"Пломбир ""Соленая карамель"" в ваф. рожке в мол. шоколаде",98.0,70.0,4.9,20757.0,https://vkusvill.ru/goods/plombir-solenaya-karamel-v-vaf-rozhke-v-mol-shokolade-106852.html,140.0
"Пломбир ""Соленая карамель""",137.0,85.0,4.9,13827.0,https://vkusvill.ru/goods/plombir-solenaya-karamel-15124.html,161.18
Эскимо Пломбир шоколадный в молочном шоколаде,167.0,80.0,4.9,11395.0,https://vkusvill.ru/goods/eskimo-plombir-shokoladnyy-v-molochnom-shokolade-21109.html,208.75
"Сорбет ""Банан с кусочками клубники"", 65г",142.0,65.0,4.4,90.0,https://vkusvill.ru/goods/sorbet-banan-s-kusochkami-klubniki-65g-116612.html,218.46
"Пломбир в рожке ""Клубника""",139.0,100.0,4.9,11089.0,https://vkusvill.ru/goods/plombir-v-rozhke-klubnika-27166.html,139.0
Пломбир ванильный с изюмом брикет на вафлях,114.0,80.0,4.9,11083.0,https://vkusvill.ru/goods/plombir-vanilnyy-s-izyumom-briket-na-vaflyakh-15283.html,142.5
Пломбир с соленой карамелью в ваф. рожке,142.0,100.0,4.9,14062.0,https://vkusvill.ru/goods/plombir-s-solenoy-karamelyu-v-vaf-rozhke-75731.html,142.0
Пломбир сэндвич ванильный в печенье,89.0,80.0,4.9,8530.0,https://vkusvill.ru/goods/plombir-sendvich-vanilnyy-v-pechene-107319.html,111.25
"Сорбет ""Лимон с цедрой""",128.0,75.0,4.9,4667.0,https://vkusvill.ru/goods/sorbet-limon-s-tsedroy-90770.html,170.67
Эскимо Пломбир Двухслойный в молочном шоколаде,149.0,80.0,4.9,8641.0,https://vkusvill.ru/goods/eskimo-plombir-dvukhsloynyy-v-molochnom-shokolade-50735.html,186.25
Пломбир двухслойный с ароматом ванили и шоколадный,122.0,105.0,4.9,8441.0,https://vkusvill.ru/goods/plombir-dvukhsloynyy-s-aromatom-vanili-i-shokoladnyy-65898.html,116.19
Эскимо фисташковое в белом шоколаде с фисташкой,189.0,80.0,4.8,5045.0,https://vkusvill.ru/goods/eskimo-fistashkovoe-v-belom-shokolade-s-fistashkoy-88674.html,236.25
"Мороженое ""Мятное с Шоколадом""",128.0,85.0,4.9,8500.0,https://vkusvill.ru/goods/morozhenoe-myatnoe-s-shokoladom-15774.html,150.59
"Сорбет ""Манго-Маракуйя""",119.0,75.0,4.9,5177.0,https://vkusvill.ru/goods/sorbet-mango-marakuyya-20148.html,158.67
"Лед фруктово-ягодный ""Манго-малина""",134.0,80.0,4.8,5759.0,https://vkusvill.ru/goods/led-fruktovo-yagodnyy-mango-malina-46797.html,167.5
"Мороженое гранулированное ""Бабл-Гам""",156.0,80.0,4.8,11604.0,https://vkusvill.ru/goods/morozhenoe-granulirovannoe-babl-gam-43254.html,195.0
"Мороженое-торт ""Пралине"" с арахисом, 400&nbsp;г",549.0,400.0,4.7,474.0,https://vkusvill.ru/goods/morozhenoe-tort-praline-s-arakhisom-400-g-116427.html,137.25
Пломбир шоколадный в ваф. стаканчике,109.0,70.0,4.9,12879.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-stakanchike-18519.html,155.71
"Эскимо пломбир ванильный в молочном шоколаде, 70&nbsp;г",116.0,70.0,4.9,11381.0,https://vkusvill.ru/goods/eskimo-plombir-vanilnyy-v-molochnom-shokolade-70-g-106470.html,165.71
