Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сорбет», по неделям, 01.01.2018 — 10.05.2026, все регионы, все устройства
01.01.2018;2 833;0,00019;
08.01.2018;3 158;0,00018;
15.01.2018;3 583;0,00019;
22.01.2018;3 750;0,00019;
29.01.2018;3 666;0,00019;
05.02.2018;3 354;0,00017;
12.02.2018;3 374;0,00017;
19.02.2018;3 772;0,00019;
26.02.2018;4 267;0,00021;
05.03.2018;4 820;0,00026;
12.03.2018;4 246;0,00021;
19.03.2018;4 129;0,00021;
26.03.2018;4 034;0,00021;
02.04.2018;3 651;0,00020;
09.04.2018;3 707;0,00020;
16.04.2018;4 014;0,00022;
23.04.2018;3 743;0,00020;
30.04.2018;3 883;0,00024;
07.05.2018;4 350;0,00025;
14.05.2018;5 348;0,00030;
21.05.2018;5 042;0,00030;
28.05.2018;5 834;0,00034;
04.06.2018;5 592;0,00033;
11.06.2018;5 522;0,00035;
18.06.2018;6 821;0,00041;
25.06.2018;7 440;0,00046;
02.07.2018;7 358;0,00046;
09.07.2018;6 884;0,00044;
16.07.2018;7 482;0,00047;
23.07.2018;6 658;0,00042;
30.07.2018;6 363;0,00040;
06.08.2018;6 886;0,00043;
13.08.2018;5 707;0,00035;
20.08.2018;4 622;0,00029;
27.08.2018;4 702;0,00029;
03.09.2018;3 804;0,00021;
10.09.2018;3 768;0,00020;
17.09.2018;3 629;0,00018;
24.09.2018;3 771;0,00018;
01.10.2018;3 479;0,00016;
08.10.2018;3 855;0,00018;
15.10.2018;4 537;0,00021;
22.10.2018;3 605;0,00017;
29.10.2018;4 082;0,00020;
05.11.2018;3 592;0,00018;
12.11.2018;3 447;0,00017;
19.11.2018;3 655;0,00018;
26.11.2018;3 545;0,00017;
03.12.2018;3 926;0,00019;
10.12.2018;3 814;0,00019;
17.12.2018;3 657;0,00018;
24.12.2018;3 709;0,00020;
31.12.2018;3 190;0,00019;
07.01.2019;3 899;0,00020;
14.01.2019;4 030;0,00019;
21.01.2019;4 288;0,00020;
28.01.2019;4 284;0,00020;
04.02.2019;4 119;0,00019;
11.02.2019;4 307;0,00020;
18.02.2019;4 408;0,00021;
25.02.2019;4 817;0,00023;
04.03.2019;4 921;0,00025;
11.03.2019;5 165;0,00025;
18.03.2019;5 376;0,00026;
25.03.2019;5 164;0,00026;
01.04.2019;4 973;0,00025;
08.04.2019;4 775;0,00024;
15.04.2019;4 721;0,00024;
22.04.2019;4 821;0,00026;
29.04.2019;4 847;0,00028;
06.05.2019;5 122;0,00030;
13.05.2019;5 745;0,00030;
20.05.2019;6 078;0,00032;
27.05.2019;7 021;0,00039;
03.06.2019;7 813;0,00044;
10.06.2019;7 960;0,00046;
17.06.2019;7 971;0,00047;
24.06.2019;7 449;0,00043;
01.07.2019;6 638;0,00039;
08.07.2019;7 270;0,00044;
15.07.2019;6 697;0,00040;
